description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Bmw Serie 3 2.0 320i Sedan Executive,US$18.000,18000,2011,2011,135.000 Km,135000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2089041976-bmw-serie-3-20-320i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 328i Sedán Sport 245cv,US$28.500,28500,2014,2014,110.000 Km,110000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2077938986-bmw-serie-3-20-328i-sedan-sport-245cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 328i Sedán Sport 245cv,US$25.000,25000,2013,2013,239.000 Km,239000,Tres De Febrero - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2041950642-bmw-serie-3-20-328i-sedan-sport-245cv-lineaautomotor-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.5 323i Executive,US$11.300,11300,2006,2006,115.000 Km,115000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2034741884-bmw-serie-3-25-323i-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 M340i Xdrive,US$83.900,83900,2020,2020,32.000 Km,32000,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1499915161-bmw-serie-3-30-m340i-xdrive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.5 325ti Compact Active,US$12.600,12600,2005,2005,135.000 Km,135000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2077359656-bmw-serie-3-25-325ti-compact-active-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 330i Sportive Steptro.,US$21.900,21900,2007,2007,77.000 Km,77000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2074775924-bmw-serie-3-30-330i-sportive-steptro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Sportline,US$38.900,38900,2019,2019,95.200 Km,95200,San Fernando - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2068255882-bmw-serie-3-20-320i-sedan-sportline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 325i Coupe,US$23.900,23900,2010,2010,103.000 Km,103000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1502445791-bmw-325i-coupe-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Executive,US$31.800,31800,2017,2017,108.000 Km,108000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2081684064-bmw-serie-3-20-320i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320d Sedán Sport 184cv,US$34.900,34900,2013,2013,125.000 Km,125000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1493225897-bmw-serie-3-20-320d-sedan-sport-184cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Executive,US$17.000,17000,2011,2011,124.000 Km,124000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2008252146-bmw-320-i-executive-sedan-at-2011-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 328i Luxury 245cv,US$26.000,26000,2012,2012,157.000 Km,157000,Tres De Febrero - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1485203003-bmw-serie-3-20-328i-luxury-245cv-lineaautomotor-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 320i Sedan Sportline,US$62.900,62900,2025,2025,0 Km,0,Godoy Cruz - Mendoza,https://auto.mercadolibre.com.ar/MLA-1995509096-bmw-serie-3-20-320i-sedan-sportline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 2.0 328i Luxury 245cv,US$26.500.000,26500000,2012,2012,98.000 Km,98000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-1502328971-bmw-serie-3-20-328i-luxury-245cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
Bmw Serie 3 3.0 330 Ci Executive,US$35.000,35000,2001,2001,131.000 Km,131000,Del Viso - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1488805327-bmw-serie-3-30-330-ci-executive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=48666b0a-7f32-4a64-817e-8fb3fbe435ae
