description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw Serie 3 2.5 323 Compact Ti Sportive,US$10.000,10000,1998,1998,166.000 Km,166000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501740217-bmw-serie-3-25-323-compact-ti-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti,US$10.000,10000,1998,1998,153.000 Km,153000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2099180942-bmw-serie-3-25-323-compact-ti-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti,US$9.000,9000,1999,1999,195.000 Km,195000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2079911960-bmw-serie-3-25-323-compact-ti-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sedan Active,US$13.000,13000,2008,2008,239.600 Km,239600,Exaltación De La Cruz - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1496725625-bmw-serie-3-25-323i-sedan-active-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw 323i 2.5 323 Sedan Executive M/t,US$14.500,14500,2008,2008,148.000 Km,148000,Castellanos - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1496825131-bmw-323i-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti,US$9.500.000,9500000,1998,1998,112.500 Km,112500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2096919102-bmw-serie-3-25-323-compact-ti-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti,US$14.200,14200,1999,1999,167.000 Km,167000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2091239088-bmw-serie-3-25-323-compact-ti-1999-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti,US$8.700,8700,1999,1999,163.500 Km,163500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1502993749-bmw-serie-3-25-323-compact-ti-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sportive,US$12.500,12500,2006,2006,155.500 Km,155500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2099966456-bmw-serie-3-2006-25-323i-sportive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Active,US$18.000.000,18000000,2006,2006,167.000 Km,167000,Necochea - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-2089044048-bmw-serie-3-25-323i-active-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw 323i 2.5 323i Executive,US$18.000.000,18000000,2007,2007,205.000 Km,205000,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1501997293-bmw-323i-con-asesorias-m-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Executive,US$12.000,12000,2007,2007,208.000 Km,208000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2078581244-bmw-serie-3-25-323i-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw 323 I Sedan,US$16.800,16800,2008,2008,72.500 Km,72500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2086822310-bmw-323i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sportive,US$16.000.000,16000000,2007,2007,225.000 Km,225000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-2078970112-bmw-serie-3-25-323i-sportive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 325i Coupe Sportive,US$18.900,18900,2008,2008,120.000 Km,120000,Esteban Echeverría - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2074726332-bmw-serie-3-25-325i-coupe-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323i Sedan Active,US$12.000,12000,2008,2008,170.000 Km,170000,José C. Paz - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2084516154-bmw-serie-3-25-323i-sedan-active-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti,US$15.000,15000,1999,1999,198.000 Km,198000,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1500305159-bmw-serie-3-1999-25-323-compact-ti-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
Bmw Serie 3 2.5 323 Compact Ti Sportive,US$13.000,13000,1999,1999,270.000 Km,270000,Lomas De Zamora - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1501658447-bmw-serie-3-25-323-compact-ti-sportive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=63e0a5a1-9c8f-41c5-bec2-f6d6ed765150,bmw serie 3 323,
