description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw X3 3.0 Xdrive M50 M Performance 398cv,US$148.000,148000,2025,2025,1.000 Km,1000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1502905087-bmw-x3-30-xdrive-m50-m-performance-398cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30i Xline,US$95.900,95900,2024,2024,1.000 Km,1000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501666667-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 28i Xline 245cv,US$33.000,33000,2017,2017,106.000 Km,106000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2058893094-bmw-x3-20-xdrive-28i-xline-245cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i 245cv,US$68.000,68000,2019,2019,74.000 Km,74000,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1503026531-bmw-x3-20-xdrive-30i-245cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$22.900,22900,2013,2013,187.000 Km,187000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1495697535-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 Xdrive 30e,US$99.900,99900,2024,2024,0 Km,0,Godoy Cruz - Mendoza,https://auto.mercadolibre.com.ar/MLA-1471502057-bmw-x3-xdrive-30e-genco-bmw-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$32.800,32800,2013,2013,142.000 Km,142000,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1487526019-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw Serie 5 3.0 535i Sedan M Package 306cv,US$48.500,48500,2017,2017,52.000 Km,52000,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2096797848-bmw-535i-330-a5-a7-q5-q7-x3-x5-x6-c300-c250-e300-e250-335-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i Xline,US$105.900,105900,2024,2024,0 Km,0,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2077322750-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30i Xline,US$72.500,72500,2021,2021,46.500 Km,46500,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2102545392-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$27.500,27500,2013,2013,140.000 Km,140000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2096969132-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$26.900,26900,2012,2012,135.000 Km,135000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-1488430521-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 30i,US$60.000,60000,2020,2020,92.000 Km,92000,Rojas - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2047952150-bmw-x3-20-30i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 2.0 Xdrive 30i Xline,US$59.900,59900,2020,2020,90.000 Km,90000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2091722694-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 3.0 Iexecutive Stept,US$14.500,14500,2007,2007,150.000 Km,150000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2026818432-bmw-x3-30-iexecutive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i Xline,US$85.000,85000,2023,2023,18.000 Km,18000,Corrientes - Corrientes,https://auto.mercadolibre.com.ar/MLA-2040764500-bmw-x3-20t-xdrive-30i-ano-2023-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30i Executive,US$99.999,99999,2021,2021,30.000 Km,30000,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2100145324-bmw-x3-20-xdrive-30i-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,↑
Bmw X3 20i,US$53.000,53000,2018,2018,15.200 Km,15200,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2102546718-bmw-x3-20i-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=fd66c89a-8642-4f2a-a666-88ff57169b97,bmw x3 3.0,
