description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$24.000.000,24000000,2012,2012,227.000 Km,227000,Yerba Buena - Tucumán,https://auto.mercadolibre.com.ar/MLA-1492265983-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$23.500,23500,2013,2013,180.000 Km,180000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1499221865-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 2.5 Glk300 V6 Sport 4matic,US$22.900,22900,2011,2011,136.000 Km,136000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2080012820-mercedes-benz-glk-300-anticipo-y-financio-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$20.000,20000,2011,2011,170.000 Km,170000,Río Segundo - Córdoba,https://auto.mercadolibre.com.ar/MLA-1484413969-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$17.500,17500,2011,2011,176.000 Km,176000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2037227410-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$17.500,17500,2012,2012,210.000 Km,210000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2095849932-mercedes-benz-clase-glk-30-glk300-4matic-city-231cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk Glk300 4 Matic Sport,US$29.500,29500,2014,2014,150.000 Km,150000,Mar Del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-2056765108-mercedes-benz-clase-glk-2014-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.5 Glk300 4matic 247cv At,US$20.500,20500,2013,2013,152.000 Km,152000,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1484060679-mercedes-benz-clase-glk-35-glk300-4matic-247cv-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 2.5 Glk300 V6 Sport 4matic,US$15.990,15990,2010,2010,240.000 Km,240000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1482097113-mercedes-benz-clase-glk-25-glk300-v6-sport-4matic-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
Mercedes-benz Clase Glk 3.0 Glk300 4matic City 231cv At,US$21.000,21000,2012,2012,129.000 Km,129000,Zárate - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1494324699-mercedes-benz-glk-300-4matic-ano-2012-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=8f215c4f-9e01-4fdd-8c8c-97ceb41c5f82
