description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Bmw Serie 1 1.5 118i Sport Line 136cv,US$25.800,25800,2017,2017,120.000 Km,120000,Lomas De Zamora - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1500798687-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.0 Xdrive M135 Performance,US$85.000,85000,2025,2025,0 Km,0,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1500047929-bmw-serie-1-20-xdrive-m135-performance-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 116i 136cv,US$17.500,17500,2012,2012,144.000 Km,144000,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1499871447-impecable-bmw-serie-1-16-116i-ano-2012-linea-2013-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 118i Sport 170cv,US$17.900,17900,2012,2012,105.000 Km,105000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2060895226-bmw-serie-1-16-118i-sport-170cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 120i Sport At,US$28.500,28500,2017,2017,76.000 Km,76000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1502786149-bmw-120i-sport-16-2017-at-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.0 Xdrive M135 M Performance,US$72.900,72900,2023,2023,22.000 Km,22000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1486636309-bmw-serie-1-20-xdrive-m135-performance-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$27.500,27500,2017,2017,88.000 Km,88000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2038874726-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.0 Xdrive M135 M Performance,US$76.990,76990,2024,2024,1.200 Km,1200,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2073363574-bmw-serie-1-20-xdrive-m135-m-performance-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$25.900,25900,2019,2019,128.000 Km,128000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2073718432-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Active 136cv,US$22.990,22990,2017,2017,69.000 Km,69000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501560143-bmw-118i-active-at-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$27.500,27500,2019,2019,92.000 Km,92000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1491681149-bmw-118i-sportline-5p-at-2019-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.5 135i Coupe Sportive 306cv,US$31.900,31900,2013,2013,113.000 Km,113000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1498311525-bmw-serie-1-25-135i-coupe-at-sportive-306cv-2013-lesbleus-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.5 135i Coupe Sportive 306cv,US$32.000,32000,2012,2012,79.000 Km,79000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1497259329-bmw-serie-1-25-135i-coupe-sportive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 116i 136cv,US$17.500,17500,2013,2013,115.000 Km,115000,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1501248477-bmw-116-i-2013-mbv-480-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$27.500,27500,2018,2018,80.000 Km,80000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2081720758-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.5 135i Coupe Sportive 306cv,US$26.500,26500,2010,2010,122.000 Km,122000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2078590174-bmw-serie-1-25-135i-coupe-sportive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 3.0 130i M Sport Package,US$17.500,17500,2008,2008,175.000 Km,175000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1499738417-bmw-serie-1-30-130i-m-sport-package-muy-bueno-2008-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$28.500,28500,2019,2019,74.000 Km,74000,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2081827194-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.0 Xdrive M135 M Performance,US$82.900,82900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2027744364-bmw-serie-1-20-xdrive-m135-m-performance-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 120i Sport Line At 177cv,US$28.999,28999,2016,2016,62.000 Km,62000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2100698378-bmw-serie-1-16-120i-sport-line-at-177cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Active 136cv,US$34.800,34800,2020,2020,68.800 Km,68800,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2089986256-bmw-serie-1-15-118i-active-136cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.5 125i Coupe Sport,US$24.200,24200,2009,2009,162.000 Km,162000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2072356206-bmw-serie-1-25-125i-coupe-sport-_JM?highlight=true&headerTopBrand=true#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 120i M Package 177cv,US$32.000,32000,2016,2016,61.000 Km,61000,Ezeiza - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1493020433-bmw-serie-1-16-120i-m-package-177cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.0 Xdrive M135 Performance,US$79.900,79900,2025,2025,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2050477668-bmw-serie-1-20-xdrive-m135-performance-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.0 120i Active 156cv,US$13.000,13000,2008,2008,148.000 Km,148000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1495655871-bmw-serie-1-20-120i-active-156cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Active 136cv,US$35.900,35900,2020,2020,87.000 Km,87000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1501409275-bmw-serie-1-15-118i-active-136cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 120i M Package 177cv At,US$32.000,32000,2016,2016,93.000 Km,93000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2074694668-bmw-serie-1-16-120i-m-package-177cv-at-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Advantage 156cv,US$47.900,47900,2025,2025,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1483750851-bmw-serie-1-15-118i-advantage-156cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 120i Sport Line At 177cv,US$22.000,22000,2016,2016,148.000 Km,148000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2069869062-bmw-serie-1-16-120i-sport-line-at-177cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$47.900,47900,2023,2023,14.000 Km,14000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1500026619-bmw-serie-1-15-118i-sport-line-136cv-maderomotors-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 120i M Package 177cv,US$34.900,34900,2016,2016,39.000 Km,39000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2085387758-bmw-serie-1-16-120i-m-package-177cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Active 136cv,US$19.500,19500,2017,2017,116.000 Km,116000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2100778056-bmw-serie-1-15-118i-active-136cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.0 Xdrive M135 Performance,US$63.200,63200,2021,2021,60.000 Km,60000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501533655-bmw-serie-1-20-xdrive-m135-performance-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$28.000,28000,2018,2018,79.800 Km,79800,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1500227667-bmw-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.5 135i Coupe Sportive 306cv,US$32.000,32000,2013,2013,82.000 Km,82000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2074875116-bmw-serie-1-25-135i-coupe-sportive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$29.500,29500,2017,2017,54.000 Km,54000,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2079854328-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.6 120i Sport Line At 177cv,US$26.500,26500,2016,2016,88.000 Km,88000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501334815-bmw-serie-1-16-120i-sport-line-at-177cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$26.900,26900,2018,2018,82.000 Km,82000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1498995411-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 1.5 118i Sport Line 136cv,US$27.500,27500,2017,2017,128.000 Km,128000,Villa Carlos Paz - Córdoba,https://auto.mercadolibre.com.ar/MLA-2082821844-bmw-serie-1-15-118i-sport-line-136cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
Bmw Serie 1 2.5 135i Coupe Sportive 306cv,US$30.000,30000,2013,2013,108.000 Km,108000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2097279958-bmw-serie-1-25-135i-coupe-sportive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=0fae1191-c982-410d-95dd-c6cbe89b32f6
