description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw Serie 3 2.5 325i 24v Coupe,US$55.000,55000,1995,1995,125.000 Km,125000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501564711-bmw-serie-3-25-325i-24v-coupe-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325ci Coupe Selective,US$14.000,14000,2002,2002,187.000 Km,187000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2082789544-bmw-serie-3-25-325ci-coupe-selective-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325ti Compact Active,US$13.900,13900,2004,2004,114.800 Km,114800,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2079927320-bmw-serie-3-25-325ti-compact-active-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Sportive,US$22.000,22000,2007,2007,122.000 Km,122000,La Matanza - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1500291409-bmw-serie-3-25-325i-coupe-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i,US$16.000,16000,1987,1987,89.000 Km,89000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2095548628-bmw-serie-3-25-325i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Sportive,US$19.600,19600,2010,2010,147.000 Km,147000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2090984592-vendo-o-permuto-bmw-325i-coupe-2010-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Sportive,US$18.000,18000,2007,2007,97.000 Km,97000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2079548590-bmw-serie-3-2007-25-325i-coupe-sportive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325 Cabriolet,US$47.999,47999,2012,2012,64.100 Km,64100,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501865627-bmw-325-e93-cabriolet-25-pack-m-blanco-agregados-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive Automática,US$17.999,17999,2009,2009,94.500 Km,94500,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1502887699-bmw-serie-3-25-325i-sedan-executive-automatica-_JM?highlight=true&headerTopBrand=true#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 3.0 325i Coupe Sportive,US$19.900,19900,2008,2008,143.175 Km,143175,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1502584055-bmw-325i-coupe-sportive-2008-30-mt-impecable-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$15.900,15900,2010,2010,182.000 Km,182000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2059814384-bmw-serie-3-25-325i-sedan-executive-automatico-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Selective,US$10.500,10500,2001,2001,154.000 Km,154000,Cañuelas - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2074289012-bmw-serie-3-25-325i-selective-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 325i Cabriolet At,US$49.900,49900,1999,1999,50.000 Km,50000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2065937194-bmw-325i-cabriolet-at-1992-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325ti Compact Active,US$12.600,12600,2005,2005,135.000 Km,135000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2077359656-bmw-serie-3-25-325ti-compact-active-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 325i Coupe,US$23.900,23900,2010,2010,103.000 Km,103000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1502445791-bmw-325i-coupe-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$21.000,21000,2010,2010,92.000 Km,92000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2038328748-bmw-serie-325i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Executive Stept,US$29.000.000,29000000,2012,2012,82.000 Km,82000,Villa María - Córdoba,https://auto.mercadolibre.com.ar/MLA-2100572732-bmw-serie-3-25-325i-coupe-executive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 325i Executive Coupe,US$18.800,18800,2008,2008,200.000 Km,200000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1483072405-bmw-325i-executive-coupe-ano-2008-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$16.000,16000,2010,2010,170.000 Km,170000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1493921533-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw 325i 2.5 325i Sedan Executive,US$15.000,15000,2010,2010,177.216 Km,177216,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1487140287-bmw-325i-automatico-2010-gris-sedan-executive-tute-cars-w-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i,US$12.500,12500,1993,1993,162.000 Km,162000,Mar Del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-1493525645-bmw-serie-3-25-325i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe,US$20.000,20000,2009,2009,188.000 Km,188000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501996969-bmw-325-i-coupe-manual-325i-coupe-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw 325i 2.5 325i Sedan Executive,US$16.000,16000,2011,2011,153.000 Km,153000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1479358903-bmw-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan,US$8.500,8500,1995,1995,215.000 Km,215000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2037087084-bmw-325-i-sedan-4ptas-1995-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$19.000,19000,2010,2010,133.000 Km,133000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1500816865-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$20.500,20500,2010,2010,220.000 Km,220000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1477734967-bmw-serie-3-25-325i-sedan-executive-automatico-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$16.500,16500,2010,2010,84.480 Km,84480,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2015575348-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Executive,US$24.900,24900,2010,2010,73.000 Km,73000,Berazategui - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2101145158-bmw-325-i-25-coupe-executive-e92-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$14.000,14000,2011,2011,104.000 Km,104000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501198101-bmw-serie-3-25-325i-sedan-executive-automatico-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
