description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw 325 Ti New Compact,US$12.000,12000,2004,2004,150.000 Km,150000,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2103655784-bmw-325ti-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Executive,US$26.000,26000,2010,2010,70.000 Km,70000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1495867513-bmw-serie-3-25-325i-coupe-executive-manual-inmaculada-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 325i Cupe Spottive,US$28.000,28000,2010,2010,39.100 Km,39100,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2100900702-bmw-325i-coupe-2010-sportive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Sportive,US$24.500.000,24500000,2007,2007,117.200 Km,117200,San Rafael - Mendoza,https://auto.mercadolibre.com.ar/MLA-2084526542-bmw-serie-3-25-325i-coupe-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$19.000,19000,2012,2012,161.000 Km,161000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2099782474-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan,US$18.500,18500,1988,1988,185.000 Km,185000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1497872191-bmw-serie-3-1988-25-325i-sedan-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$16.500,16500,2010,2010,132.000 Km,132000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2099339062-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$16.000,16000,2010,2010,143.000 Km,143000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1495866007-bmw-serie-3-2010-25-325i-sedan-executive-acepto-permuta-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Executive Stept,US$24.000,24000,2012,2012,88.000 Km,88000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1496068827-bmw-serie-3-25-325i-coupe-executive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$15.200,15200,2009,2009,161.000 Km,161000,Coronel Rosales - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2074523318-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i 24v Coupe,US$18.000,18000,1995,1995,175.000 Km,175000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1496338017-bmw-serie-3-325i-24v-coupe-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$19.000,19000,2010,2010,121.000 Km,121000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2101550636-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive Automática,US$16.500,16500,2009,2009,103.000 Km,103000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1496641713-bmw-serie-3-25-325i-sedan-executive-automatica-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Active,US$15.500,15500,2009,2009,172.000 Km,172000,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2101135278-bmw-serie-3-25-325i-sedan-active-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan,US$4.500.000,4500000,1991,1991,111.111 Km,111111,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1502917373-bmw-serie-3-25-325i-sedan-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325ti Compact Active,US$13.000.000,13000000,2005,2005,93.000 Km,93000,Resistencia - Chaco,https://auto.mercadolibre.com.ar/MLA-1496784077-bmw-serie-3-25-325ti-compact-active-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i 24v Coupe,US$11.500,11500,1994,1994,204.700 Km,204700,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1497585553-bmw-serie-3-25-325i-24v-coupe-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 325 Cabriolet,US$33.900,33900,1995,1995,149.000 Km,149000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2078172288-bmw-325i-cabriolet-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$18.500,18500,2010,2010,139.500 Km,139500,Balcarce - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-1501702405-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=6398caec-2835-4f47-850d-b701574eaf9c,bmw serie 3 325,
Bmw Serie 3 2.5 325i Coupe Sportive,US$18.900,18900,2008,2008,120.000 Km,120000,Esteban Echeverría - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2074726332-bmw-serie-3-25-325i-coupe-sportive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$16.000,16000,2010,2010,100.000 Km,100000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2086604930-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw 325i Sedan 2.5 Executive,US$19.000,19000,2009,2009,155.000 Km,155000,Coronel Pringles - San Luis,https://auto.mercadolibre.com.ar/MLA-1502286449-caja-automatica-6ta-nafta-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$20.000,20000,2010,2010,92.000 Km,92000,Santo Tomé - Santa Fe,https://auto.mercadolibre.com.ar/MLA-2095026290-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 325i E92 Coupe,US$19.000,19000,2008,2008,175.000 Km,175000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2090737234-bmw-coupe-e92-cuero-techo-manual-6-cilindros-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$12.000,12000,2010,2010,150.000 Km,150000,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2093323588-bmw-serie-3-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Executive,US$13.000,13000,2010,2010,187.000 Km,187000,Santa Fe Capital - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1501097161-bmw-serie-3-2010-25-325i-sedan-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 325i,US$16.500,16500,2008,2008,121.000 Km,121000,Presidente Perón - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2099564786-bmw-serie-3-325i-coupe-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 325 Cupé,US$19.000,19000,2008,2008,85.000 Km,85000,Ituzaingó - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2102570598-bmw-325i-cupe-manual-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 325i Coupe,US$19.500,19500,2008,2008,110.000 Km,110000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2080007746-bmw-325i-coupe-executive-2008-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 2.5 325i Sedan Active Automática,US$14.000,14000,2009,2009,136.000 Km,136000,Crespo - Entre Ríos,https://auto.mercadolibre.com.ar/MLA-1497793855-bmw-serie-3-25-325i-sedan-active-automatica-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 325i - E92 - N52,US$23.500,23500,2008,2008,116.000 Km,116000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1500180505-bmw-325i-e92-motor-n52-tm-6ta-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw 325 2.5 325i Sedan Xdrive,US$29.500.000,29500000,2009,2009,120.000 Km,120000,Neuquén - Neuquén,https://auto.mercadolibre.com.ar/MLA-2085512910-bmw-325-cupe-sport-ano-2009-caja-de-6ta-manual-unico-dueno-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
Bmw Serie 3 2.5 325i 24v Coupe,US$16.000,16000,1992,1992,1.111.111 Km,1111111,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1499555107-bmw-serie-3-25-325i-24v-coupe-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=2c06fdd5-6836-4ec4-9a29-a5d3f9e3bc47,bmw serie 3 325,
