description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Bmw X5 35i Xdrive Equipo M,US$68.900,68900,2018,2018,57.000 Km,57000,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2097307522-bmw-x5-35i-xdrive-equipo-m-x6-x4-q5-q7-glc-gle-sw4-macan-srt-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 4.8 4.8l Premium Stept,US$18.500,18500,2007,2007,116.300 Km,116300,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2089146562-bmw-x5-48-48l-premium-stept-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 3.0 Si Executive,US$22.000,22000,2010,2010,244.000 Km,244000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2025419784-bmw-x5-30-si-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=d4e2a180-7328-4f84-a9e8-21119c397341
Bmw X5 3.0 Xdrive 35i 306cv Pure Excellence,US$46.900,46900,2017,2017,156.000 Km,156000,Del Viso - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2078680660-bmw-x5-30-xdrive-35i-306cv-pure-excellence-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 4.8 Is Premium,US$23.000,23000,2008,2008,130.000 Km,130000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2078886308-bmw-x5-48-is-premium-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 4.8 Is Premium,US$23.700.000,23700000,2008,2008,119.000 Km,119000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2061379312-bmw-x5-48-is-premium-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 4.4 M 555cv,US$65.000,65000,2013,2013,70.000 Km,70000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1502708397-bmw-x5-44-m-555cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$31.000,31000,2012,2012,118.000 Km,118000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1496719539-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 40i Lci M Sport Pro,US$179.900,179900,2025,2025,0 Km,0,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2073124456-bmw-x5-30-xdrive-40i-lci-m-sport-pro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Iexecutive Stept,US$15.500,15500,2004,2004,147.000 Km,147000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1492177703-bmw-x5-30-iexecutive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 4.4 M 555cv,US$49.900,49900,2011,2011,106.000 Km,106000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2041938890-bmw-x-5-m-2011-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$58.000,58000,2013,2013,15.000 Km,15000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2020433570-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$37.000,37000,2013,2013,59.000 Km,59000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1488740179-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 D Executive,US$16.500,16500,2005,2005,320.000 Km,320000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2022670078-bmw-x5-30-d-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i 306cv Pure Excellence,US$70.000,70000,2018,2018,150.000 Km,150000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-1498585747-bmw-x5-30-xdrive-35i-306cv-pure-excellence-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Si Executive,US$26.900,26900,2010,2010,130.000 Km,130000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1499760255-bmw-x5-30-si-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 D Executive,US$10.900,10900,2004,2004,215.000 Km,215000,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1484527231-bmw-x5-30-d-executive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$32.900,32900,2013,2013,74.000 Km,74000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2095043298-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 40i Xdrive 340cv M,US$116.000,116000,2020,2020,44.000 Km,44000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2092878158-bmw-x5-40i-xdrive-340cv-m-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i 306cv Pure Excellence,US$49.500,49500,2017,2017,102.000 Km,102000,Resistencia - Chaco,https://auto.mercadolibre.com.ar/MLA-2093143068-bmw-x5-30-xdrive-35i-306cv-pure-excellence-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 4.4 M 555cv,US$50.000,50000,2011,2011,106.000 Km,106000,Avellaneda - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2049127086-bmw-x5-44-m-555cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 Bmw X5 Xdrive 40 340cv,US$110.500,110500,2020,2020,50.000 Km,50000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2023848814-bmw-x5-xdrive-40i-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$41.000,41000,2015,2015,11.111 Km,11111,Bahía Blanca - Buenos Aires Interior,https://auto.mercadolibre.com.ar/MLA-2008419298-bmw-x5-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 4.4 Xdrive 50i 449cv M Package,US$65.000,65000,2017,2017,97.700 Km,97700,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2036275548-bmw-x5-44-xdrive-50i-449cv-m-package-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 30d Executive 245cv,US$26.000,26000,2011,2011,168.000 Km,168000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2031790978-bmw-x5-30-xdrive-30d-executive-245cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 40d M Package 313cv,US$84.000,84000,2018,2018,54.000 Km,54000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2031777580-bmw-x5-30-xdrive-40d-m-package-313cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 50i,US$41.500,41500,2012,2012,92.000 Km,92000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2023483926-bmw-x5-security-50i-v8-450cv-blindada-rb4-europeo-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.5 Xdrive,US$26.200,26200,2013,2013,130.500 Km,130500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2084298406-bmw-x5-35-xdrive-2013-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Da Executive,US$17.000,17000,2007,2007,170.000 Km,170000,San Martín - Mendoza,https://auto.mercadolibre.com.ar/MLA-1497248973-bmw-x5-30-da-executive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 At,US$23.500,23500,2008,2008,148.000 Km,148000,Mar Del Plata - Bs.As. Costa Atlántica,https://auto.mercadolibre.com.ar/MLA-1492751675-bmw-x5-at-30-ano-2008-bostonautosmdq-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Si Executive,US$22.500,22500,2009,2009,180.000 Km,180000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2073348388-bmw-x5-30-si-executive-impecable-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 D Executive Stept,US$13.500,13500,2004,2004,259.000 Km,259000,La Plata - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2093448060-bmw-x5-30-d-executive-stept-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i Executive 306cv,US$57.000,57000,2013,2013,55.000 Km,55000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2077925724-bmw-x5-30-xdrive-35i-executive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 4.4 Xdrive 50i 449cv M Package,US$80.000,80000,2017,2017,60.000 Km,60000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2086742800-bmw-x5-44-xdrive-50i-449cv-m-package-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i 306cv Pure Excellence,US$54.500,54500,2018,2018,102.900 Km,102900,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2075489172-bmw-x5-30-xdrive-35i-306cv-pure-excellence-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 Xdrive 35i 306cv Pure Excellence,US$45.000,45000,2016,2016,165.000 Km,165000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2102398542-bmw-x5-30-xdrive-35i-306cv-pure-excellence-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
Bmw X5 3.0 D Executive Stept,US$19.700,19700,2007,2007,186.000 Km,186000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1497508363-bmw-x5-30-d-executive-stept-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=17c0e07f-3a9a-49b8-8b19-ce9aaa54cdf4
